id,providers
8193,['Stan']
2789,['Stan']
544444,['Amazon Prime Video']
10204,['Stan']
594,['Stan']
12902,['Stan']
12153,['Netflix']
11036,['Stan']
558,['Netflix']
8699,"['Netflix', 'Amazon Prime Video', 'Stan']"
27808,['Amazon Prime Video']
1003320,['Amazon Prime Video']
48454,['Amazon Prime Video']
98082,['Amazon Prime Video']
9893,['Amazon Prime Video']
11247,['Netflix']
93115,['Amazon Prime Video']
2502,['Stan']
49865,['Amazon Prime Video']
401,['Stan']
14462,['Stan']
1538,"['Netflix', 'Amazon Prime Video', 'Stan']"
83,['Stan']
11026,['Netflix']
10762,['Netflix']
76425,['Amazon Prime Video']
9759,['Netflix']
181504,['Amazon Prime Video']
10555,['Netflix']
13969,['Amazon Prime Video']
215355,['Amazon Prime Video']
15165,['Stan']
46869,['Amazon Prime Video']
176,['Stan']
41303,['Amazon Prime Video']
3989,['Stan']
270628,['Amazon Prime Video']
16358,['Amazon Prime Video']
4380,['Stan']
34672,['Amazon Prime Video']
589431,['Amazon Prime Video']
298843,['Amazon Prime Video']
45119,['Amazon Prime Video']
10113,['Amazon Prime Video']
54408,['Netflix']
48643,['Amazon Prime Video']
9801,['Stan']
5255,"['Netflix', 'Stan']"
10589,['Netflix']
11836,"['Netflix', 'Stan']"
510831,['Amazon Prime Video']
105681,['Amazon Prime Video']
13673,['Netflix']
163,['Stan']
217720,['Netflix']
73416,['Amazon Prime Video']
61853,['Amazon Prime Video']
723176,['Amazon Prime Video']
70,['Netflix']
47601,['Amazon Prime Video']
11774,['Stan']
26962,['Amazon Prime Video']
693,"['Netflix', 'Amazon Prime Video', 'Stan']"
96141,['Amazon Prime Video']
836384,['Amazon Prime Video']
733915,['Amazon Prime Video']
723326,['Amazon Prime Video']
639884,['Stan']
308619,['Amazon Prime Video']
278941,['Amazon Prime Video']
83791,['Amazon Prime Video']
61359,['Amazon Prime Video']
31012,['Amazon Prime Video']
24615,['Stan']
18428,['Amazon Prime Video']
18070,['Amazon Prime Video']
701251,['Amazon Prime Video']
32671,['Amazon Prime Video']
7214,['Netflix']
21078,['Stan']
14166,['Amazon Prime Video']
11354,['Amazon Prime Video']
53905,['Amazon Prime Video']
12142,['Amazon Prime Video']
62868,['Amazon Prime Video']
8968,['Stan']
6961,['Stan']
561,"['Amazon Prime Video', 'Stan']"
20422,['Amazon Prime Video']
8488,"['Netflix', 'Amazon Prime Video']"
9701,['Netflix']
10598,['Amazon Prime Video']
438735,['Amazon Prime Video']
16186,"['Netflix', 'Stan']"
13498,['Netflix']
9667,['Amazon Prime Video']
4551,['Amazon Prime Video']
2026,['Amazon Prime Video']
279226,['Amazon Prime Video']
477028,['Stan']
10320,['Stan']
14175,['Stan']
11638,['Amazon Prime Video']
392247,['Amazon Prime Video']
14907,['Amazon Prime Video']
54939,['Amazon Prime Video']
2151,['Amazon Prime Video']
438340,['Amazon Prime Video']
10065,['Amazon Prime Video']
10040,['Stan']
212880,['Amazon Prime Video']
14177,['Amazon Prime Video']
163062,['Amazon Prime Video']
228170,['Amazon Prime Video']
11679,['Netflix']
10066,['Stan']
31419,['Amazon Prime Video']
3631,['Amazon Prime Video']
12547,['Amazon Prime Video']
4379,['Netflix']
200356,['Amazon Prime Video']
953,"['Netflix', 'Amazon Prime Video', 'Stan']"
157925,['Amazon Prime Video']
261612,['Amazon Prime Video']
80021,['Amazon Prime Video']
787,['Amazon Prime Video']
272,"['Netflix', 'Stan']"
252496,['Amazon Prime Video']
74,['Stan']
19183,['Amazon Prime Video']
9392,['Stan']
9522,"['Netflix', 'Stan']"
118,['Stan']
9993,['Netflix']
31954,['Amazon Prime Video']
11648,['Netflix']
251832,['Amazon Prime Video']
1696,['Stan']
55831,['Amazon Prime Video']
6519,['Stan']
6957,['Stan']
11453,['Netflix']
37646,['Amazon Prime Video']
11460,['Stan']
58939,['Amazon Prime Video']
196679,['Amazon Prime Video']
16367,['Stan']
63235,['Amazon Prime Video']
5236,['Stan']
10851,['Netflix']
9813,['Amazon Prime Video']
3933,['Netflix']
13994,['Amazon Prime Video']
5471,['Amazon Prime Video']
204554,['Amazon Prime Video']
9885,"['Netflix', 'Stan']"
9007,"['Netflix', 'Amazon Prime Video', 'Stan']"
4348,['Netflix']
224790,['Amazon Prime Video']
275558,['Amazon Prime Video']
86366,['Amazon Prime Video']
9763,['Stan']
11968,['Amazon Prime Video']
398,['Amazon Prime Video']
886133,['Amazon Prime Video']
15906,['Stan']
46113,['Amazon Prime Video']
101129,['Amazon Prime Video']
7553,['Stan']
423955,['Amazon Prime Video']
791,['Netflix']
14695,['Amazon Prime Video']
204609,['Amazon Prime Video']
45072,['Amazon Prime Video']
31048,['Amazon Prime Video']
11283,['Netflix']
168705,['Amazon Prime Video']
27227,['Amazon Prime Video']
1656,['Stan']
26985,['Amazon Prime Video']
215,['Stan']
69201,['Amazon Prime Video']
27902,['Amazon Prime Video']
26116,['Amazon Prime Video']
22817,['Amazon Prime Video']
31277,['Amazon Prime Video']
10060,['Stan']
150062,['Amazon Prime Video']
13499,['Amazon Prime Video']
46463,['Netflix']
28660,['Amazon Prime Video']
37035,['Amazon Prime Video']
1904,['Stan']
254,['Amazon Prime Video']
20558,['Stan']
2800,['Amazon Prime Video']
612,['Stan']
18091,['Amazon Prime Video']
684746,['Amazon Prime Video']
243539,['Amazon Prime Video']
718646,['Amazon Prime Video']
648009,['Amazon Prime Video']
305264,['Amazon Prime Video']
204101,['Amazon Prime Video']
169516,['Amazon Prime Video']
152884,['Stan']
113882,['Amazon Prime Video']
70749,['Amazon Prime Video']
55772,['Amazon Prime Video']
36857,['Amazon Prime Video']
34789,['Amazon Prime Video']
34222,['Amazon Prime Video']
30367,['Amazon Prime Video']
25216,['Amazon Prime Video']
17179,['Amazon Prime Video']
14202,"['Netflix', 'Amazon Prime Video']"
13355,['Stan']
10121,['Amazon Prime Video']
6969,['Amazon Prime Video']
41617,['Amazon Prime Video']
24422,['Amazon Prime Video']
9900,['Netflix']
7304,['Amazon Prime Video']
17379,['Netflix']
11565,['Amazon Prime Video']
108930,['Netflix']
167036,['Amazon Prime Video']
60982,['Amazon Prime Video']
9754,['Stan']
9286,['Netflix']
12096,['Amazon Prime Video']
57740,['Amazon Prime Video']
75387,['Amazon Prime Video']
101916,['Amazon Prime Video']
752,['Netflix']
16781,['Stan']
186,['Stan']
31933,['Netflix']
10025,['Amazon Prime Video']
18151,['Amazon Prime Video']
9920,['Netflix']
524198,['Amazon Prime Video']
13285,['Stan']
9655,['Stan']
388,['Netflix']
155543,['Amazon Prime Video']
82861,['Amazon Prime Video']
26594,['Amazon Prime Video']
73548,['Amazon Prime Video']
1441,['Netflix']
9957,['Netflix']
14542,"['Netflix', 'Amazon Prime Video']"
79674,['Amazon Prime Video']
10115,['Stan']
588,['Netflix']
169959,['Amazon Prime Video']
120750,['Amazon Prime Video']
13722,['Amazon Prime Video']
956,['Stan']
13414,['Amazon Prime Video']
9829,['Stan']
868745,['Amazon Prime Video']
385923,['Netflix']
1252,['Amazon Prime Video']
204483,['Amazon Prime Video']
21705,['Stan']
7518,['Stan']
591,['Netflix']
208063,['Amazon Prime Video']
1887,['Netflix']
34862,['Amazon Prime Video']
292975,['Amazon Prime Video']
9615,"['Amazon Prime Video', 'Stan']"
9784,['Amazon Prime Video']
22105,['Amazon Prime Video']
15858,['Amazon Prime Video']
16042,['Amazon Prime Video']
16173,['Amazon Prime Video']
2044,['Stan']
243628,['Amazon Prime Video']
9917,['Netflix']
16432,['Amazon Prime Video']
1452,"['Netflix', 'Stan']"
9297,['Netflix']
296164,['Amazon Prime Video']
1596,['Netflix']
18437,['Stan']
86254,['Amazon Prime Video']
402679,['Amazon Prime Video']
37725,['Stan']
39114,['Amazon Prime Video']
4657,"['Netflix', 'Stan']"
21794,['Amazon Prime Video']
2295,['Stan']
143950,['Amazon Prime Video']
77436,['Amazon Prime Video']
45193,['Netflix']
9907,['Amazon Prime Video']
629219,['Netflix']
138359,['Amazon Prime Video']
101927,['Amazon Prime Video']
11211,['Netflix']
1852,['Stan']
14113,['Netflix']
9762,['Stan']
74511,['Amazon Prime Video']
836103,['Amazon Prime Video']
15008,['Amazon Prime Video']
13140,"['Amazon Prime Video', 'Stan']"
9788,['Netflix']
1491,['Stan']
21473,['Amazon Prime Video']
9988,['Netflix']
120730,['Amazon Prime Video']
9072,['Netflix']
205076,['Amazon Prime Video']
224990,['Stan']
241595,['Amazon Prime Video']
1164,['Stan']
206527,['Amazon Prime Video']
24582,['Amazon Prime Video']
9022,['Stan']
7839,['Amazon Prime Video']
1262,['Stan']
7511,"['Amazon Prime Video', 'Stan']"
9672,['Stan']
14055,['Stan']
14137,['Amazon Prime Video']
9766,['Netflix']
13002,['Stan']
12094,['Stan']
9693,['Stan']
7484,['Netflix']
29124,['Amazon Prime Video']
10781,['Stan']
9958,['Netflix']
1440,['Stan']
19271,"['Netflix', 'Stan']"
43673,['Amazon Prime Video']
157077,['Amazon Prime Video']
214,['Stan']
45052,['Amazon Prime Video']
18558,['Amazon Prime Video']
14761,['Stan']
655263,['Amazon Prime Video']
693089,['Stan']
79416,['Amazon Prime Video']
12526,['Stan']
38170,['Amazon Prime Video']
36557,"['Amazon Prime Video', 'Stan']"
9836,"['Netflix', 'Stan']"
9969,['Netflix']
74129,['Amazon Prime Video']
116675,['Amazon Prime Video']
13967,['Stan']
61528,['Amazon Prime Video']
9986,"['Netflix', 'Amazon Prime Video', 'Stan']"
1579,['Stan']
1581,"['Amazon Prime Video', 'Stan']"
1247,['Netflix']
58782,['Amazon Prime Video']
9973,['Amazon Prime Video']
1402,['Netflix']
14171,['Amazon Prime Video']
36946,['Amazon Prime Video']
1125,"['Netflix', 'Stan']"
788307,['Amazon Prime Video']
312644,['Amazon Prime Video']
304489,['Amazon Prime Video']
