tmdb_id,imdb_id,original_language,original_title,genres,release_date,video,adult,popularity,tmdb_rating_avg,tmdb_vote_count,providers,netflix_provider,stan_provider,amazon_provider,imdb_rating,imdb_votes,iso_country,country_name,budget,revenue,runtime
105945.0,tt1694118,en,Memorial Day,"Action,Drama,History",6/06/2011,False,False,5.225,6.4,64.0,Amazon Prime Video,No,No,Yes,6.1,2629.0,US,United States of America,4200000,0,108
37686.0,tt1650062,en,Super 8,"Action,Mystery,Sci-Fi",8/06/2011,False,False,36.286,6.7,5939.0,Stan,Yes,No,No,7.0,356101.0,US,United States of America,50000000,260095986,112
64586.0,tt1588398,en,Sleeping Beauty,"Drama,Mystery,Romance",10/06/2011,False,False,17.065,5.4,521.0,Netflix,No,No,Yes,5.3,33133.0,AU,Australia,10000000,408680,102
69485.0,tt1440136,en,Blame,"Drama,Thriller",16/06/2011,False,False,2.288,5.0,13.0,Amazon Prime Video,Yes,Yes,Yes,5.6,658.0,AU,Australia,0,0,89
44912.0,tt1133985,en,Green Lantern,"Action,Adventure,Sci-Fi",16/06/2011,False,False,47.686,5.2,6482.0,"Netflix, Stan",Yes,No,No,5.5,287182.0,US,United States of America,200000000,219851172,114
93383.0,tt1847707,en,Borderline Murder,Thriller,19/06/2011,False,False,2.475,6.0,6.0,Amazon Prime Video,No,Yes,No,4.7,431.0,CA,Canada,0,0,85
66945.0,tt1519663,en,Love's Kitchen,"Comedy,Drama,Romance",24/06/2011,False,False,6.626,5.4,72.0,Amazon Prime Video,No,Yes,No,5.3,3501.0,GB,United Kingdom,0,0,86
65050.0,tt1855110,en,180,"Drama,Romance",25/06/2011,False,False,2.364,5.5,10.0,Amazon Prime Video,No,Yes,Yes,6.1,840.0,IN,India,0,0,134
59722.0,tt1846444,en,2012: Ice Age,"Action,Adventure,Drama",27/06/2011,False,False,13.325,4.5,249.0,Amazon Prime Video,No,No,Yes,2.2,6074.0,US,United States of America,250000,0,91
38356.0,tt1399103,en,Transformers: Dark of the Moon,"Action,Adventure,Sci-Fi",28/06/2011,False,False,22.871,6.2,7302.0,"Netflix, Amazon Prime Video, Stan",No,Yes,No,6.2,411925.0,US,United States of America,195000000,1123794079,154
122277.0,tt1951189,en,Marilyn,"Crime,Drama,Romance",30/06/2011,False,False,2.541,7.0,2.0,Stan,Yes,No,No,7.9,90.0,CA,Canada,0,0,106
617461.0,tt2064923,en,Finding Joy,Drama,1/07/2011,False,False,0.6,4.0,2.0,Amazon Prime Video,No,No,Yes,5.8,15.0,IE,Ireland,0,0,75
85944.0,tt1910649,en,Tom Papa: Live in New York City,Comedy,1/07/2011,False,False,2.917,6.0,11.0,Amazon Prime Video,No,No,Yes,7.2,536.0,US,United States of America,0,0,41
59860.0,tt1067774,en,Monte Carlo,"Adventure,Comedy,Family",1/07/2011,False,False,19.08,6.6,1902.0,Amazon Prime Video,No,No,Yes,5.8,45775.0,HU,Hungary,20000000,39782683,109
