id,original_language,original_title,genre_ids,release_date,video,adult,popularity,vote_average,vote_count,providers,iso_country,country_name,budget,revenue,runtime
1049417,en,Through These Eyes,[],11/09/2001,FALSE,FALSE,0.6,0,0,['Amazon Prime Video'],Null,Null,Null,Null,Null
456600,en,Westray,[99],14/09/2001,FALSE,FALSE,0.6,0,0,['Amazon Prime Video'],CA,Canada,0,0,80
57558,en,Vacuuming Completely Nude in Paradise,"[35, 18]",14/09/2001,FALSE,FALSE,2.266,5.5,13,['Amazon Prime Video'],GB,United Kingdom,0,0,76
2176,en,The Glass House,"[18, 53]",14/09/2001,FALSE,FALSE,19.986,5.9,834,['Netflix'],US,United States of America,30000000,23619609,107
15167,en,Barbie in the Nutcracker,"[16, 10751]",30/09/2001,FALSE,FALSE,50.225,6.8,915,['Stan'],CA,Canada,0,0,76
9523,en,Lantana,"[80, 18, 9648]",4/10/2001,FALSE,FALSE,12.074,6.6,166,['Stan'],DE,Germany,0,0,121
57743,en,The Learning Curve,"[80, 18, 53]",5/10/2001,FALSE,FALSE,2.453,5,4,['Amazon Prime Video'],Null,Null,Null,Null,Null
51438,en,MVP 2: Most Vertical Primate,"[35, 10751]",5/10/2001,FALSE,FALSE,4.971,6.2,39,['Amazon Prime Video'],US,United States of America,0,0,87
9778,en,Serendipity,"[35, 10749, 18]",5/10/2001,FALSE,FALSE,21.539,6.9,1650,['Stan'],US,United States of America,28000000,77516304,90
2034,en,Training Day,"[28, 80, 18]",5/10/2001,FALSE,FALSE,40.738,7.5,4974,['Stan'],US,United States of America,45000000,104876233,122
212336,en,Facing the Enemy,[53],9/10/2001,FALSE,FALSE,2.296,5,1,['Amazon Prime Video'],US,United States of America,0,0,98
10836,en,Dagon,"[14, 27, 53]",12/10/2001,FALSE,FALSE,13.56,6.3,298,['Amazon Prime Video'],ES,Spain,4800000,0,95
50573,en,Little Secrets,"[18, 10751, 35]",17/10/2001,FALSE,FALSE,9.139,6.3,63,['Amazon Prime Video'],US,United States of America,0,0,96
129187,en,On the Borderline,[28],23/10/2001,FALSE,FALSE,1.567,6,1,['Amazon Prime Video'],US,United States of America,0,0,93
141,en,Donnie Darko,"[14, 18, 9648]",24/10/2001,FALSE,FALSE,37.998,7.8,10910,['Stan'],US,United States of America,6000000,7500000,114
11456,en,Domestic Disturbance,"[53, 80, 9648]",28/10/2001,FALSE,FALSE,13.336,5.8,344,['Stan'],US,United States of America,75000000,54249294,89
11088,en,Heist,"[28, 80, 18, 53]",9/11/2001,FALSE,FALSE,16.035,6.3,445,['Netflix'],US,United States of America,35000000,28500000,107
35824,en,The Navigators,[18],16/11/2001,FALSE,FALSE,3.996,7,61,['Amazon Prime Video'],DE,Germany,0,0,96
213496,en,The Tracker,[28],21/11/2001,FALSE,FALSE,2.209,4.2,5,['Amazon Prime Video'],Null,Null,Null,Null,Null
229214,en,Blind Obsession,"[18, 53]",26/11/2001,FALSE,FALSE,2.333,6,2,['Amazon Prime Video'],US,United States of America,0,0,90
202742,en,Seven Worlds Collide: Neil Finn & Friends Live at the St. James,"[99, 10402]",26/11/2001,FALSE,FALSE,1.051,4.7,3,['Amazon Prime Video'],Null,Null,Null,Null,Null
292664,en,Face Value,"[18, 53]",1/12/2001,FALSE,FALSE,1.967,6.5,3,['Amazon Prime Video'],US,United States of America,0,0,94
58786,en,Another Day,"[53, 10770, 18, 14]",4/12/2001,FALSE,FALSE,2.909,5,17,['Amazon Prime Video'],CA,Canada,0,0,90
161,en,Ocean's Eleven,"[53, 80]",7/12/2001,FALSE,FALSE,41.749,7.4,10192,"['Netflix', 'Stan']",US,United States of America,85000000,450717150,116
229202,en,Snowbound,[53],10/12/2001,FALSE,FALSE,4.515,4.8,8,['Amazon Prime Video'],CA,Canada,0,0,93
8489,en,Ali,[18],10/12/2001,FALSE,FALSE,17.011,6.8,1455,['Netflix'],ZA,South Africa,107000000,87713825,157
453,en,A Beautiful Mind,"[18, 10749]",11/12/2001,FALSE,FALSE,36.837,7.9,8969,['Stan'],US,United States of America,60000000,313542341,135
167688,en,The Unbeatable Bruce Lee,[99],18/12/2001,FALSE,FALSE,1.953,8.4,4,['Amazon Prime Video'],Null,Null,Null,Null,Null
120,en,The Lord of the Rings: The Fellowship of the Ring,"[12, 14, 28]",18/12/2001,FALSE,FALSE,106.228,8.4,22062,"['Amazon Prime Video', 'Stan']",NZ,New Zealand,93000000,871368364,179
12589,en,Jimmy Neutron: Boy Genius,"[10751, 28, 12, 16, 35, 878]",21/12/2001,FALSE,FALSE,21.515,5.9,757,['Stan'],US,United States of America,25000000,80936232,83
12312,en,Joe Somebody,"[35, 10749, 10751, 18]",21/12/2001,FALSE,FALSE,8.835,5.8,159,['Amazon Prime Video'],US,United States of America,38000000,24516772,99
3003,en,The Lost World,"[12, 14, 878, 10770]",25/12/2001,FALSE,FALSE,9.585,6,55,['Amazon Prime Video'],DE,Germany,0,0,150
704914,en,Cover Up: Norway's Nazi Secret,[99],1/01/2002,FALSE,FALSE,0.6,0,0,['Amazon Prime Video'],Null,Null,Null,Null,Null
704784,en,K-19: Doomsday Submarine,[99],1/01/2002,FALSE,FALSE,0.6,0,0,['Amazon Prime Video'],Null,Null,Null,Null,Null
301393,en,Austen Country: The Life & Times of Jane Austen,[],1/01/2002,FALSE,FALSE,0.6,0,0,['Amazon Prime Video'],Null,Null,Null,Null,Null
272896,en,The Wars of the Roses: A Bloody Crown,"[99, 36]",1/01/2002,FALSE,FALSE,0.6,0,0,['Amazon Prime Video'],Null,Null,Null,Null,Null
