tmdb_id,imdb_id,original_language,original_title,genre_id,release_date,video,adult,popularity,tmdb_rating_avg,tmdb_vote_count,imdb_rating,imdb_votes,providers,iso_country,country_name,budget,revenue,runtime
382809,tt4667832,en,"Win, Lose or Love","['Thriller', 'Action', 'Drama']",4/05/2015,False,False,4.943,5.4,12,5.8,517,['Amazon Prime Video'],US,United States of America,0,0,0
340884,tt5794246,en,Scooby-Doo! and the Beach Beastie,['Documentary'],5/05/2015,False,False,8.333,9.0,60,6.9,361,['Stan'],US,United States of America,0,0,22
326551,tt3121860,en,Backtrack,"['Animation', 'Fantasy']",5/05/2015,False,False,1.475,2.3,8,3.0,1769,['Amazon Prime Video'],IE,Ireland,0,0,96
456274,tt5689446,en,Chernobyl 30 Years On: Nuclear Heritage,"['Family', 'Comedy', 'Science Fiction']",6/05/2015,False,False,2.054,6.8,8,5.7,115,['Amazon Prime Video'],DE,Germany,0,0,44
326284,tt3488328,en,Pound of Flesh,"['Animation', 'Music', 'Family']",7/05/2015,False,False,15.54,5.8,192,5.1,6669,['Amazon Prime Video'],CA,Canada,7500000,163080,104
254470,tt2848292,en,Pitch Perfect 2,"['Comedy', 'Action', 'Adventure']",7/05/2015,False,False,38.322,6.9,4928,6.4,159505,"['Amazon Prime Video', 'Stan']",US,United States of America,29000000,287506194,115
399798,tt4552412,en,Brad Williams: Fun Size,['Science Fiction'],8/05/2015,False,False,4.037,7.7,10,8.0,393,['Amazon Prime Video'],US,United States of America,0,0,60
300666,tt2950052,en,Bravetown,['Horror'],8/05/2015,False,False,9.376,6.8,274,6.1,4192,['Amazon Prime Video'],US,United States of America,0,0,112
287424,tt1881002,en,Maggie,['Comedy'],8/05/2015,False,False,31.918,5.4,1435,5.6,44924,['Stan'],CH,Switzerland,4000000,187112,95
268920,tt2967224,en,Hot Pursuit,"['Drama', 'War']",8/05/2015,False,False,16.323,5.7,1452,5.1,51944,['Amazon Prime Video'],US,United States of America,35000000,51680201,87
362538,tt3978902,en,Spirit Riders,['Documentary'],9/05/2015,False,False,2.657,6.4,15,4.7,293,['Amazon Prime Video'],US,United States of America,0,0,92
365834,tt3733618,en,Trace,['Horror'],12/05/2015,False,False,3.131,4.1,14,3.6,524,['Amazon Prime Video'],US,United States of America,0,0,90
388940,tt5396486,en,Team Hot Wheels: The Skills to Thrill,"['Family', 'Animation', 'Adventure']",15/05/2015,False,False,5.461,8.5,2,7.2,35,['Amazon Prime Video'],US,United States of America,0,0,45
376418,tt4452274,en,Oloibiri,['Drama'],19/05/2015,False,False,1.232,0.0,0,5.2,189,['Netflix'],CA,Canada,0,0,106
328070,tt2401842,en,Roommate Wanted,"['Action', 'Drama', 'Thriller']",19/05/2015,False,False,2.641,4.5,15,4.6,598,['Amazon Prime Video'],US,United States of America,0,0,85
254128,tt2126355,en,San Andreas,"['Romance', 'TV Movie']",27/05/2015,False,False,79.409,6.2,7474,6.1,240550,"['Netflix', 'Amazon Prime Video', 'Stan']",CA,Canada,110000000,473990832,114
335866,tt3118452,en,Circle,"['Horror', 'Science Fiction', 'Thriller']",28/05/2015,False,False,13.505,6.0,1668,6.0,58528,['Netflix'],US,United States of America,0,0,87
280092,tt3195644,en,Insidious: Chapter 3,"['Horror', 'Thriller']",28/05/2015,False,False,44.374,6.3,2891,6.1,106700,['Netflix'],CA,Canada,10000000,112983889,97
349849,tt3362908,en,Kruel,['Documentary'],29/05/2015,False,False,3.712,5.3,12,3.9,506,['Amazon Prime Video'],US,United States of America,2000000,0,104
