,adult,genre_id,tmdb_id,imdb_id,budget,revenue,original_title,original_language,popularity,release_date,title,vote_average,vote_count,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6
69,False,"['Comedy', 'Drama', 'Action', 'Crime']",33379,tt0203540,0,1443067,Greenfingers,en,7.671,2000-10-01,Greenfingers,6.4,50,Comedy,Drama,Action,Crime,,
70,False,"['Action', 'Drama', 'Thriller', 'Crime']",10461,tt0208988,63600000,19412993,Get Carter,en,23.651,2000-10-06,Get Carter,5.118,460,Action,Drama,Thriller,Crime,,
71,False,"['Comedy', 'Romance']",1597,tt0212338,55000000,330444045,Meet the Parents,en,28.273,2000-10-06,Meet the Parents,6.666,5232,Comedy,Romance,,,,
72,False,"['Crime', 'Drama']",641,tt0180093,4500000,7390108,Requiem for a Dream,en,12.912,2000-10-06,Requiem for a Dream,8.034,8570,Crime,Drama,,,,
73,False,"['Romance', 'TV Movie']",143524,tt0262682,0,0,Personally Yours,en,3.334,2000-10-08,Wilderness Love,5.3,3,Romance,TV Movie,,,,
74,False,"['Mystery', 'Thriller']",77,tt0209144,9000000,39723096,Memento,en,47.525,2000-10-11,Memento,8.189,12920,Mystery,Thriller,,,,
75,False,"['Drama', 'Thriller']",6521,tt0208874,20000000,22428990,The Contender,en,13.588,2000-10-13,The Contender,6.684,196,Drama,Thriller,,,,
76,False,"['Comedy', 'Drama', 'History']",5257,tt0205873,0,0,The Dish,en,12.343,2000-10-19,The Dish,6.726,155,Comedy,Drama,History,,,
77,False,"['Fantasy', 'Comedy', 'Romance']",1636,tt0230030,48000000,90383208,Bedazzled,en,39.574,2000-10-19,Bedazzled,6.014,1565,Fantasy,Comedy,Romance,,,
78,False,"['Drama', 'Fantasy', 'Science Fiction', 'Thriller']",37302,tt0190524,0,0,Left Behind: The Movie,en,10.582,2000-10-30,Left Behind: The Movie,4.257,105,Drama,Fantasy,Science Fiction,Thriller,,
79,False,"['Horror', 'Comedy', 'Adventure', 'Action']",76176,tt0245943,0,0,Da Hip Hop Witch,en,5.009,2000-10-31,Da Hip Hop Witch,2.2,12,Horror,Comedy,Adventure,Action,,
80,False,"['TV Movie', 'Horror']",26245,tt0240793,0,0,Dark Prince: The True Story of Dracula,en,7.225,2000-10-31,Dark Prince: The True Story of Dracula,6.443,35,TV Movie,Horror,,,,
81,False,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",4327,tt0160127,92000000,264105545,Charlie's Angels,en,29.137,2000-11-02,Charlie's Angels,5.819,3667,Action,Adventure,Comedy,Crime,Thriller,
83,False,"['Comedy', 'Fantasy']",9678,tt0185431,85000000,58292295,Little Nicky,en,25.714,2000-11-10,Little Nicky,5.872,1551,Family,Comedy,Fantasy,,,
84,False,"['Family', 'Comedy', 'Fantasy']",8871,tt0170016,123000000,345823040,How the Grinch Stole Christmas,en,101.626,2000-11-15,How the Grinch Stole Christmas,6.747,6376,Music,Documentary,,,,
85,False,"['Music', 'Documentary']",76650,tt0287309,0,0,Alice Cooper: Brutally Live,en,1.016,2000-12-05,Alice Cooper: Brutally Live,6.8,5,Adventure,Drama,,,,
86,False,"['Adventure', 'Drama']",8358,tt0162222,90000000,429632142,Cast Away,en,45.391,2000-12-22,Cast Away,7.656,9925,Comedy,Crime,Action,,,
87,False,"['Comedy', 'Crime', 'Action']",1493,tt0212346,45000000,212000000,Miss Congeniality,en,38.973,2000-12-22,Miss Congeniality,6.513,3352,Drama,Thriller,Mystery,,,
88,False,"['Drama', 'Thriller', 'Mystery']",173093,tt0280744,0,0,Living in Fear,en,1.335,2000-12-31,Living in Fear,4.667,3,,,,,,
89,False,[],548337,tt1785314,0,0,Boxing: In and Out of the Ring,en,0.6,2001-01-01,Boxing: In and Out of the Ring,0.0,0,,,,,,
90,False,[],430955,tt0245350,0,0,The Pearl,en,1.989,2001-01-01,The Pearl,4.4,7,Fantasy,Comedy,,,,
91,False,"['Fantasy', 'Comedy']",24811,tt0212910,0,0,Delivering Milo,en,6.19,2001-01-04,Delivering Milo,5.4,35,Crime,Drama,Mystery,Thriller,TV Movie,
92,False,"['Crime', 'Drama', 'Mystery', 'Thriller', 'TV Movie']",383070,tt0253247,0,0,Mind Games,en,1.815,2001-01-06,Mind Games,7.0,1,Drama,Family,Romance,Music,,
93,False,"['Drama', 'Family', 'Romance', 'Music']",9816,tt0206275,13000000,131706809,Save the Last Dance,en,18.408,2001-01-12,Save the Last Dance,6.57,1137,Documentary,,,,,
94,False,['Documentary'],638550,tt1776937,0,0,In Other Words,en,0.6,2001-01-15,In Other Words,0.0,0,Documentary,Family,,,,
95,False,"['Documentary', 'Family']",638549,tt1776982,0,0,Sticks and Stones,en,0.6,2001-01-15,Sticks and Stones,0.0,0,Family,Romance,Comedy,,,
