,tmdb_id,imdb_id,original_language,original_title,release_date,tmdb_rating_avg,tmdb_vote_count,imdb_rating,imdb_votes,budget,revenue
175,12079,tt0283003,en,Spun,1/06/2002,6.5,370,6.7,39395,2000000,0
176,9583,tt0279778,en,Divine Secrets of the Ya-Ya Sisterhood,7/06/2002,6.1,193,6.0,20145,27000000,73839240
179,2501,tt0258463,en,The Bourne Identity,14/06/2002,7.4,8159,7.9,550096,60000000,214034224
181,180,tt0181689,en,Minority Report,20/06/2002,7.3,7513,7.6,555388,102000000,358372926
183,2022,tt0280590,en,Mr. Deeds,28/06/2002,5.8,1930,5.8,146145,50000000,171269535
187,8665,tt0267626,en,K-19: The Widowmaker,19/07/2002,6.5,821,6.7,64355,100000000,35168966
188,818,tt0295178,en,Austin Powers in Goldmember,26/07/2002,6.0,2697,6.2,212650,63000000,296938801
189,13908,tt0295427,en,The Master of Disguise,2/08/2002,4.0,243,3.3,25732,16000000,43411001
190,9488,tt0287717,en,Spy Kids 2: The Island of Lost Dreams,7/08/2002,5.6,1869,5.2,68906,38000000,119723358
192,92384,tt0285869,en,Trois 2: Pandora's Box,9/08/2002,6.2,13,4.7,736,800000,833779
194,7451,tt0295701,en,xXx,9/08/2002,5.9,3671,5.8,181288,70000000,277448382
197,423,tt0253474,en,The Pianist,17/09/2002,8.4,7771,8.5,834629,35000000,120072577
198,11013,tt0274812,en,Secretary,20/09/2002,6.8,1308,6.9,92837,4000000,9304609
202,1809,tt0292644,en,The Rules of Attraction,11/10/2002,6.2,459,6.6,51989,4000000,11832822
205,565,tt0298130,en,The Ring,18/10/2002,6.6,5355,7.1,353542,48000000,249348933
207,9645,tt0288477,en,Ghost Ship,25/10/2002,5.9,2032,5.5,102556,35000000,68349884
210,111738,tt0299547,en,Black and White,31/10/2002,6.1,7,6.7,816,0,0
211,36669,tt0246460,en,Die Another Day,17/11/2002,6.0,3004,6.1,221313,140000000,431971116
212,1574,tt0299658,en,Chicago,10/12/2002,7.1,2243,7.2,232319,45000000,306776732
214,201,tt0253754,en,Star Trek: Nemesis,13/12/2002,6.3,1180,6.4,80298,60000000,67312826
216,3131,tt0217505,en,Gangs of New York,14/12/2002,7.3,5770,7.5,445482,100000000,193772504
219,2642,tt0313737,en,Two Weeks Notice,19/12/2002,6.4,1785,6.1,120127,60000000,199043242
220,14317,tt0282120,en,The Wild Thornberrys Movie,20/12/2002,6.5,223,5.6,14872,35000000,0
226,322,tt0327056,en,Mystic River,1/01/2003,7.7,5563,7.9,459859,25000000,156822020
229,37348,tt0329390,en,Monte Walsh,17/01/2003,5.9,33,7.1,2717,0,0
230,11078,tt0271668,en,National Security,17/01/2003,5.9,828,5.6,51570,0,50097949
232,10727,tt0282209,en,Darkness Falls,24/01/2003,5.5,487,4.9,32240,0,0
233,9358,tt0309593,en,Final Destination 2,31/01/2003,6.2,3408,6.2,170033,26000000,90941129
235,9919,tt0251127,en,How to Lose a Guy in 10 Days,7/02/2003,6.7,3262,6.4,244025,50000000,177502387
238,11635,tt0302886,en,Old School,21/02/2003,6.6,1510,7.0,234492,24000000,87135520
239,26266,tt0367088,en,Spymate,24/02/2003,5.7,41,3.9,1344,0,0
240,30074,tt0357139,en,Scooby-Doo! and the Legend of the Vampire,4/03/2003,7.2,253,6.4,5175,0,0
241,9567,tt0314353,en,Tears of the Sun,7/03/2003,6.8,1890,6.6,124231,75000000,86468162
242,20,tt0314412,en,My Life Without Me,7/03/2003,5.9,392,7.4,25235,2500000,12300000
243,6171,tt0285531,en,Dreamcatcher,21/03/2003,5.6,1521,5.5,93597,68000000,75700000
