tmdb_id,imdb_id,original_language,original_title,genres,release_date,video,adult,popularity,tmdb_rating_avg,tmdb_vote_count,providers,netflix_provider,stan_provider,amazon_provider,imdb_rating,imdb_votes,iso_country,country_name,budget,revenue,runtime
779000,tt13888054,en,The Wedding Ring,Romance,11/03/2021,False,False,2.246,5.2,10,Amazon Prime Video,No,No,Yes,5.4,343,CA,Canada,0,0,85
731740,tt8747160,en,The Block Island Sound,"Horror,Mystery,Sci-Fi",11/03/2021,False,False,7.163,5.3,188,Netflix,Yes,No,No,5.4,8293,US,United States of America,0,0,103
1007389,tt14128416,en,Ponzi,Comedy,12/03/2021,False,False,0.6,4.0,1,Amazon Prime Video,No,No,Yes,5.1,36,NG,Nigeria,0,0,110
819569,tt12857614,en,"Love, Life & Pakodi",Romance,12/03/2021,False,False,0.956,0.0,0,Amazon Prime Video,No,No,Yes,5.6,4346,IN,India,167700,0,120
795859,tt14035292,en,kid 90,"Biography,Documentary,History",12/03/2021,False,False,8.446,7.5,38,Amazon Prime Video,No,No,Yes,6.8,3178,US,United States of America,0,0,71
779001,tt13845504,en,A Love to Remember,Romance,12/03/2021,False,False,4.187,6.5,11,Amazon Prime Video,No,No,Yes,5.8,464,CA,Canada,0,0,85
681887,tt11762434,en,Cosmic Sin,"Action,Sci-Fi",12/03/2021,False,False,36.892,4.2,468,Netflix,Yes,No,No,2.5,13794,US,United States of America,20000000,349757,88
638597,tt8521876,en,Yes Day,"Comedy,Family",12/03/2021,False,False,34.596,6.8,949,Netflix,Yes,No,No,5.7,25624,US,United States of America,0,0,86
726527,tt7681186,en,The Parish,"Horror,Thriller",16/03/2021,False,False,1.572,5.3,3,Amazon Prime Video,No,No,Yes,3.8,369,US,United States of America,300000,0,81
644102,tt10810850,en,The Fabulous Filipino Brothers,"Comedy,Romance",16/03/2021,False,False,2.261,7.0,1,Netflix,Yes,No,No,6.0,286,PH,Philippines,0,0,99
799555,tt14111734,en,Operation Varsity Blues: The College Admissions Scandal,"Crime,Documentary,Drama",17/03/2021,False,False,10.856,7.0,111,Netflix,Yes,No,No,6.9,8465,US,United States of America,0,0,100
795622,tt11188154,en,WeWork: or The Making and Breaking of a $47 Billion Unicorn,Documentary,17/03/2021,False,False,5.05,6.7,43,Amazon Prime Video,No,No,Yes,6.6,3364,US,United States of America,0,0,104
802443,tt7897330,en,Deadly Illusions,"Drama,Thriller",18/03/2021,False,False,18.558,5.0,276,Netflix,Yes,No,No,3.7,12489,US,United States of America,0,0,114
799573,tt14078164,en,Nate Bargatze: The Greatest Average American,Comedy,18/03/2021,False,False,3.838,7.1,16,Netflix,Yes,No,No,7.3,1473,US,United States of America,0,0,61
782474,tt13107582,en,Kidnapped,"Drama,Thriller",18/03/2021,False,False,5.338,6.4,18,Netflix,Yes,No,No,4.6,322,AU,Australia,20000000,0,85
615457,tt7888964,en,Nobody,"Action,Crime,Drama",18/03/2021,False,False,97.325,8.1,5383,Netflix,Yes,No,No,7.4,255629,US,United States of America,17000000,61779301,92
809668,tt10554196,en,Pungo: A Witch's Tale,Fantasy,23/03/2021,False,False,1.971,4.0,3,Amazon Prime Video,No,No,Yes,4.3,1756,US,United States of America,0,0,0
801058,tt14152756,en,Seaspiracy,"Adventure,Documentary",24/03/2021,False,False,9.412,7.9,331,Netflix,Yes,No,No,8.1,31668,US,United States of America,0,0,89
695576,tt9302994,en,A Soldier's Revenge,Western,25/03/2021,False,False,8.759,5.8,11,Amazon Prime Video,No,No,Yes,3.8,1882,US,United States of America,5000000,0,140
699102,tt11388278,en,A Week Away,"Drama,Family,Musical",26/03/2021,False,False,17.953,7.0,316,Netflix,Yes,No,No,5.7,4862,US,United States of America,0,0,94
645856,tt11263022,en,The Seventh Day,"Horror,Mystery",26/03/2021,False,False,29.599,5.4,216,Stan,No,Yes,No,4.5,4797,US,United States of America,0,0,87
578908,tt9684220,en,Bad Trip,Comedy,26/03/2021,False,False,23.095,6.0,397,Netflix,Yes,No,No,6.5,25386,CA,Canada,0,0,87
811847,tt14153900,en,Venom Coast,"Horror,Thriller",27/03/2021,False,False,2.718,3.0,2,Amazon Prime Video,No,No,Yes,3.3,193,US,United States of America,0,0,93
795635,tt14107648,en,Love Stories in Sunflower Valley,"Comedy,Romance",28/03/2021,False,False,4.75,6.3,13,Amazon Prime Video,No,No,Yes,6.2,569,CA,Canada,0,0,85
794461,tt11618350,en,Nemesis,"Crime,Thriller",29/03/2021,False,False,3.568,4.5,2,Amazon Prime Video,No,No,Yes,3.3,1126,GB,United Kingdom,0,0,97
818285,tt14365820,en,My Brother's Keeper,Thriller,1/04/2021,False,False,2.303,0.0,0,Amazon Prime Video,No,No,Yes,3.8,57,US,United States of America,7000,0,97
802801,tt2388667,en,Free Byrd,Comedy,1/04/2021,False,False,1.684,5.0,3,Amazon Prime Video,No,No,Yes,4.9,150,US,United States of America,0,0,89
